country,date,fatalities,flight_model,location,operator
USA,25-03-1948,0,Douglas C-54 (DC-4),Oklahoma Cit...,USAF
USA,25-03-1948,0,Douglas C-54 (DC-4),Oklahoma Cit...,USAF
France,27-03-1948,19,Vickers 604 Viking 1B,Monte Cardo,Indian National Airways
Germany,05-04-1948,14,Vickers 610 Viking 1B,near Berlin-Gatow,BEA
China,05-04-1948,,Curtiss R5C-1 (C-46),,USMC
Germany,06-04-1948,0,unknown,Neubiberg Ai...,CSA
U.K.,06-04-1948,0,Douglas Dakota IV (DC-3),Oakington RA...,RAF
U.K.,06-04-1948,0,Douglas Dakota IV (DC-3),Oakington RA...,RAF
Colombia,09-04-1948,4,Douglas C-47 (DC-3),near Buenavista,SCOLTA
Nigeria,10-04-1948,1,Douglas DC-4-1009,Kano Interna...,Air France
Spain,11-04-1948,3,Bristol 170 Freighter 21E,Los Barrios,CAT
Ireland,15-04-1948,30,Lockheed L-049 Constellation,near Shannon Airp...,Pan Am
P.N. Guinea,18-04-1948,37,Lockheed 414-56 Hudson IIIA,near Lae Airfield,Guinea Air Traders
Philippines,20-04-1948,0,Douglas C-47A (DC-3),Jolo Airport...,Philippine Air Lines
U.K.,21-04-1948,0,Vickers 610 Viking 1B,Irish Law Mo...,BEA
Russia,21-04-1948,3,Douglas C-47B (DC-3),near Chita,Aeroflot / East Siberia
Russia,23-04-1948,1,Lisunov Li-2T,Khabarovsk A...,Aeroflot / Far East
Mexico,23-04-1948,2,Curtiss C-46,Mexico City,Israeli AF
Atlantic Ocean,23-04-1948,0,Lockheed P2V-2 Neptune,near Quonset Poin...,US Navy
Costa Rica,24-04-1948,0,Douglas C-47 (DC-3),San Isidro d...,TAN
Russia,24-04-1948,28,Lisunov Li-2T,near Bodaybo,Aeroflot / East Siberia
Costa Rica,29-04-1948,0,Douglas DC-3A,San JosC),Pan Am
China,30-04-1948,,Curtiss R5C-1 (C-46A),near Tsingtao MCAF,USMC
Netherlands,01-05-1948,0,Douglas DC-6,Amsterdam-Sc...,KLM
Germany,04-05-1948,0,unknown,Erding Air Base,CSA
